---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|   timestamp   |                                                                                                                                                           message                                                                                                                                                            |         logStreamName          |
|---------------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------|
| 1636517035670 | ERROR:root:Request exception: HTTPConnectionPool(host='169.254.169.254', port=80): Max retries exceeded with url: /latest/meta-data/instance-id (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7ff5828c69b0>, 'Connection to 169.254.169.254 timed out. (connect timeout=0.1)'))              | AllTraffic/i-07ba2e0c345a396ff |
| 1636517035920 | ERROR:root:Request exception: HTTPConnectionPool(host='169.254.169.254', port=80): Max retries exceeded with url: /latest/dynamic/instance-identity/document (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7ff5828e1128>, 'Connection to 169.254.169.254 timed out. (connect timeout=0.1)')) | AllTraffic/i-07ba2e0c345a396ff |
| 1636517035920 | 2021-11-10 04:03:55,818 [INFO ] main com.amazonaws.ml.mms.ModelServer -                                                                                                                                                                                                                                                      | AllTraffic/i-07ba2e0c345a396ff |
| 1636517035920 | MMS Home: /opt/conda/lib/python3.6/site-packages                                                                                                                                                                                                                                                                             | AllTraffic/i-07ba2e0c345a396ff |
| 1636517035920 | Current directory: /                                                                                                                                                                                                                                                                                                         | AllTraffic/i-07ba2e0c345a396ff |
| 1636517035920 | Temp directory: /home/model-server/tmp                                                                                                                                                                                                                                                                                       | AllTraffic/i-07ba2e0c345a396ff |
| 1636517035920 | Number of GPUs: 0                                                                                                                                                                                                                                                                                                            | AllTraffic/i-07ba2e0c345a396ff |
| 1636517035920 | Number of CPUs: 1                                                                                                                                                                                                                                                                                                            | AllTraffic/i-07ba2e0c345a396ff |
| 1636517035920 | Max heap size: 3296 M                                                                                                                                                                                                                                                                                                        | AllTraffic/i-07ba2e0c345a396ff |
| 1636517035920 | Python executable: /opt/conda/bin/python                                                                                                                                                                                                                                                                                     | AllTraffic/i-07ba2e0c345a396ff |
| 1636517035920 | Config file: /etc/sagemaker-mms.properties                                                                                                                                                                                                                                                                                   | AllTraffic/i-07ba2e0c345a396ff |
| 1636517035920 | Inference address: http://0.0.0.0:8080                                                                                                                                                                                                                                                                                       | AllTraffic/i-07ba2e0c345a396ff |
| 1636517035920 | Management address: http://127.0.0.1:8081                                                                                                                                                                                                                                                                                    | AllTraffic/i-07ba2e0c345a396ff |
| 1636517035920 | Model Store: /.sagemaker/mms/models                                                                                                                                                                                                                                                                                          | AllTraffic/i-07ba2e0c345a396ff |
| 1636517035920 | Initial Models: ALL                                                                                                                                                                                                                                                                                                          | AllTraffic/i-07ba2e0c345a396ff |
| 1636517035920 | Log dir: /logs                                                                                                                                                                                                                                                                                                               | AllTraffic/i-07ba2e0c345a396ff |
| 1636517035920 | Metrics dir: /logs                                                                                                                                                                                                                                                                                                           | AllTraffic/i-07ba2e0c345a396ff |
| 1636517035920 | Netty threads: 0                                                                                                                                                                                                                                                                                                             | AllTraffic/i-07ba2e0c345a396ff |
| 1636517035921 | Netty client threads: 0                                                                                                                                                                                                                                                                                                      | AllTraffic/i-07ba2e0c345a396ff |
| 1636517035921 | Default workers per model: 1                                                                                                                                                                                                                                                                                                 | AllTraffic/i-07ba2e0c345a396ff |
| 1636517035921 | Blacklist Regex: N/A                                                                                                                                                                                                                                                                                                         | AllTraffic/i-07ba2e0c345a396ff |
| 1636517035921 | Maximum Response Size: 6553500                                                                                                                                                                                                                                                                                               | AllTraffic/i-07ba2e0c345a396ff |
| 1636517035921 | Maximum Request Size: 6553500                                                                                                                                                                                                                                                                                                | AllTraffic/i-07ba2e0c345a396ff |
| 1636517035921 | 2021-11-10 04:03:55,897 [INFO ] main com.amazonaws.ml.mms.wlm.ModelManager - Model model loaded.                                                                                                                                                                                                                             | AllTraffic/i-07ba2e0c345a396ff |
| 1636517036170 | 2021-11-10 04:03:55,918 [INFO ] main com.amazonaws.ml.mms.ModelServer - Initialize Inference server with: EpollServerSocketChannel.                                                                                                                                                                                          | AllTraffic/i-07ba2e0c345a396ff |
| 1636517036170 | 2021-11-10 04:03:56,033 [INFO ] main com.amazonaws.ml.mms.ModelServer - Inference API bind to: http://0.0.0.0:8080                                                                                                                                                                                                           | AllTraffic/i-07ba2e0c345a396ff |
| 1636517036170 | 2021-11-10 04:03:56,034 [INFO ] main com.amazonaws.ml.mms.ModelServer - Initialize Management server with: EpollServerSocketChannel.                                                                                                                                                                                         | AllTraffic/i-07ba2e0c345a396ff |
| 1636517036170 | 2021-11-10 04:03:56,035 [INFO ] main com.amazonaws.ml.mms.ModelServer - Management API bind to: http://127.0.0.1:8081                                                                                                                                                                                                        | AllTraffic/i-07ba2e0c345a396ff |
| 1636517036171 | Model server started.                                                                                                                                                                                                                                                                                                        | AllTraffic/i-07ba2e0c345a396ff |
| 1636517036171 | 2021-11-10 04:03:56,039 [WARN ] pool-2-thread-1 com.amazonaws.ml.mms.metrics.MetricCollector - worker pid is not available yet.                                                                                                                                                                                              | AllTraffic/i-07ba2e0c345a396ff |
| 1636517036171 | 2021-11-10 04:03:56,087 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle - Listening on port: /home/model-server/tmp/.mms.sock.9000                                                                                                                                                                      | AllTraffic/i-07ba2e0c345a396ff |
| 1636517036171 | 2021-11-10 04:03:56,087 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle - [PID]28                                                                                                                                                                                                                       | AllTraffic/i-07ba2e0c345a396ff |
| 1636517036171 | 2021-11-10 04:03:56,087 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle - MXNet worker started.                                                                                                                                                                                                         | AllTraffic/i-07ba2e0c345a396ff |
| 1636517036171 | 2021-11-10 04:03:56,088 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle - Python runtime: 3.6.6                                                                                                                                                                                                         | AllTraffic/i-07ba2e0c345a396ff |
| 1636517036171 | 2021-11-10 04:03:56,092 [INFO ] W-9000-model com.amazonaws.ml.mms.wlm.WorkerThread - Connecting to: /home/model-server/tmp/.mms.sock.9000                                                                                                                                                                                    | AllTraffic/i-07ba2e0c345a396ff |
| 1636517036421 | 2021-11-10 04:03:56,106 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle - Connection accepted: /home/model-server/tmp/.mms.sock.9000.                                                                                                                                                                   | AllTraffic/i-07ba2e0c345a396ff |
| 1636517041670 | 2021-11-10 04:03:56,404 [INFO ] W-9000-model com.amazonaws.ml.mms.wlm.WorkerThread - Backend response time: 274                                                                                                                                                                                                              | AllTraffic/i-07ba2e0c345a396ff |
| 1636517047202 | 2021-11-10 04:04:02,427 [INFO ] pool-1-thread-2 ACCESS_LOG - /169.254.178.2:60560 "GET /ping HTTP/1.1" 200 17                                                                                                                                                                                                                | AllTraffic/i-07ba2e0c345a396ff |
| 1636517052209 | 2021-11-10 04:04:07,108 [INFO ] pool-1-thread-2 ACCESS_LOG - /169.254.178.2:60560 "GET /ping HTTP/1.1" 200 0                                                                                                                                                                                                                 | AllTraffic/i-07ba2e0c345a396ff |
| 1636517057214 | 2021-11-10 04:04:12,106 [INFO ] pool-1-thread-2 ACCESS_LOG - /169.254.178.2:60560 "GET /ping HTTP/1.1" 200 0                                                                                                                                                                                                                 | AllTraffic/i-07ba2e0c345a396ff |
| 1636517062218 | 2021-11-10 04:04:17,106 [INFO ] pool-1-thread-2 ACCESS_LOG - /169.254.178.2:60560 "GET /ping HTTP/1.1" 200 0                                                                                                                                                                                                                 | AllTraffic/i-07ba2e0c345a396ff |
| 1636517067223 | 2021-11-10 04:04:22,106 [INFO ] pool-1-thread-2 ACCESS_LOG - /169.254.178.2:60560 "GET /ping HTTP/1.1" 200 0                                                                                                                                                                                                                 | AllTraffic/i-07ba2e0c345a396ff |
| 1636517072227 | 2021-11-10 04:04:27,106 [INFO ] pool-1-thread-2 ACCESS_LOG - /169.254.178.2:60560 "GET /ping HTTP/1.1" 200 1                                                                                                                                                                                                                 | AllTraffic/i-07ba2e0c345a396ff |
| 1636517077232 | 2021-11-10 04:04:32,106 [INFO ] pool-1-thread-2 ACCESS_LOG - /169.254.178.2:60560 "GET /ping HTTP/1.1" 200 0                                                                                                                                                                                                                 | AllTraffic/i-07ba2e0c345a396ff |
| 1636517082236 | 2021-11-10 04:04:37,106 [INFO ] pool-1-thread-2 ACCESS_LOG - /169.254.178.2:60560 "GET /ping HTTP/1.1" 200 0                                                                                                                                                                                                                 | AllTraffic/i-07ba2e0c345a396ff |
| 1636517087241 | 2021-11-10 04:04:42,106 [INFO ] pool-1-thread-2 ACCESS_LOG - /169.254.178.2:60560 "GET /ping HTTP/1.1" 200 0                                                                                                                                                                                                                 | AllTraffic/i-07ba2e0c345a396ff |
| 1636517092246 | 2021-11-10 04:04:47,106 [INFO ] pool-1-thread-2 ACCESS_LOG - /169.254.178.2:60560 "GET /ping HTTP/1.1" 200 0                                                                                                                                                                                                                 | AllTraffic/i-07ba2e0c345a396ff |
| 1636517095999 | 2021-11-10 04:04:52,106 [INFO ] pool-1-thread-2 ACCESS_LOG - /169.254.178.2:60560 "GET /ping HTTP/1.1" 200 0                                                                                                                                                                                                                 | AllTraffic/i-07ba2e0c345a396ff |
